purchase_month,classified_order_count,late_order_count,late_delivery_rate,reviewed_order_count,avg_review_score,avg_delivery_time_days,avg_delivery_delay_days
2016-09,1,1,100.0,1,1.0,55.0,36.0
2016-10,265,2,0.75,262,4.01,19.63,-36.68
2016-12,1,0,0.0,1,5.0,5.0,-22.0
2017-01,750,22,2.93,741,4.2,12.75,-27.41
2017-02,1653,49,2.96,1643,4.2,13.3,-19.2
2017-03,2546,116,4.56,2527,4.19,13.04,-12.33
2017-04,2303,151,6.56,2290,4.14,15.02,-12.97
2017-05,3545,106,2.99,3517,4.24,11.43,-13.5
2017-06,3135,95,3.03,3111,4.22,12.01,-12.64
2017-07,3872,108,2.79,3842,4.26,11.49,-12.47
2017-08,4193,122,2.91,4165,4.31,11.02,-13.1
2017-09,4150,182,4.39,4118,4.27,11.72,-11.35
2017-10,4478,187,4.18,4446,4.21,11.73,-11.92
2017-11,7288,904,12.4,7237,3.99,15.07,-8.12
2017-12,5513,411,7.46,5461,4.09,15.31,-13.01
2018-01,7069,403,5.7,7013,4.11,14.01,-12.93
2018-02,6555,926,14.13,6507,3.88,16.87,-8.29
2018-03,7003,1328,18.96,6948,3.81,16.24,-6.43
2018-04,6798,306,4.5,6752,4.21,11.42,-12.9
2018-05,6749,443,6.56,6722,4.24,11.34,-12.19
2018-06,6096,71,1.16,6072,4.31,9.16,-19.24
2018-07,6156,208,3.38,6118,4.32,8.89,-11.44
2018-08,6351,393,6.19,6330,4.31,7.66,-8.16
