customer_state,classified_order_count,late_order_count,late_delivery_rate,reviewed_order_count,avg_review_score
SP,40494,1820,4.49,40266,4.25
RJ,12350,1495,12.11,12211,3.97
MG,11354,519,4.57,11285,4.19
RS,5344,325,6.08,5326,4.19
PR,4923,199,4.04,4900,4.24
SC,3546,291,8.21,3519,4.13
BA,3256,396,12.16,3229,3.93
DF,2080,118,5.67,2070,4.13
ES,1995,214,10.73,1969,4.08
GO,1957,128,6.54,1946,4.1
PE,1593,153,9.6,1579,4.08
CE,1279,176,13.76,1273,3.94
PA,946,106,11.21,933,3.91
MT,886,53,5.98,879,4.15
MA,717,125,17.43,712,3.83
MS,701,68,9.7,699,4.16
PB,517,54,10.44,512,4.08
PI,476,66,13.87,471,3.99
RN,474,44,9.28,471,4.15
AL,397,85,21.41,394,3.85
SE,335,51,15.22,334,3.91
